,Tomato___Bacterial_spot,Tomato___Early_blight,Tomato___Late_blight,Tomato___Leaf_Mold,Tomato___Septoria_leaf_spot,Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_mosaic_virus,Tomato___healthy
Tomato___Bacterial_spot,310,0,2,0,0,0,3,4,0,0
Tomato___Early_blight,5,131,4,0,1,0,8,0,1,0
Tomato___Late_blight,0,6,279,0,2,0,0,0,0,0
Tomato___Leaf_Mold,0,1,3,131,3,2,1,2,0,0
Tomato___Septoria_leaf_spot,2,1,2,0,258,0,3,0,0,0
Tomato___Spider_mites Two-spotted_spider_mite,0,0,1,0,0,236,15,0,0,0
Tomato___Target_Spot,1,1,0,0,1,7,200,0,0,1
Tomato___Tomato_Yellow_Leaf_Curl_Virus,5,0,0,0,0,2,0,796,0,1
Tomato___Tomato_mosaic_virus,0,0,0,0,0,2,0,0,54,0
Tomato___healthy,0,0,0,0,0,0,0,0,0,239
